USD_SGD_1.csvPrice,Tstamp,Tstamp_relative,Tstep,Is_VCD
1.764,663894000,77504400,897,0
1.7672,663980400,77590800,898,0
1.744,664066800,77677200,899,0
1.7435,664153200,77763600,900,0
1.7383,664412400,78022800,903,0
1.7305,664498800,78109200,904,0
1.736,664585200,78195600,905,0
1.7268,664671600,78282000,906,0
1.7285,664758000,78368400,907,0
1.7258,665017200,78627600,910,0
1.7277,665103600,78714000,911,0
1.7303,665190000,78800400,912,0
1.7285,665276400,78886800,913,0
1.7245,665362800,78973200,914,0
1.7178,665622000,79232400,917,0
1.7125,665708400,79318800,918,0
1.7087,665794800,79405200,919,0
1.7095,665881200,79491600,920,0
1.711,665967600,79578000,921,0
1.7077,666226800,79837200,924,0
1.7112,666313200,79923600,925,0
1.7075,666399600,80010000,926,0
1.71,666486000,80096400,927,0
1.714,666572400,80182800,928,0
1.7189,666831600,80442000,931,0
1.72,666918000,80528400,932,0
1.7225,667004400,80614800,933,0
1.7185,667090800,80701200,934,0
1.7237,667177200,80787600,935,0
1.7265,667436400,81046800,938,0
1.7285,667522800,81133200,939,0
1.7265,667609200,81219600,940,0
1.7283,667695600,81306000,941,0
1.7319,667782000,81392400,942,0
1.7332,668041200,81651600,945,0
1.7332,668127600,81738000,946,0
1.7412,668214000,81824400,947,0
1.7415,668300400,81910800,948,0
1.7433,668386800,81997200,949,0
1.7512,668646000,82256400,952,0
1.7433,668732400,82342800,953,0
1.7463,668818800,82429200,954,0
1.7502,668905200,82515600,955,0
1.76,668991600,82602000,956,0
1.7645,669250800,82861200,959,0
1.7685,669337200,82947600,960,0
1.7695,669423600,83034000,961,0
1.7672,669510000,83120400,962,0
1.768,669596400,83206800,963,0
1.773,669855600,83466000,966,0
1.7835,669942000,83552400,967,0
1.7885,670028400,83638800,968,0
1.796,670114800,83725200,969,0
1.788,670201200,83811600,970,0
1.786,670456800,84067200,973,0
1.7848,670543200,84153600,974,0
1.766,670629600,84240000,975,0
1.7629,670716000,84326400,976,0
1.765,670802400,84412800,977,0
1.77,671061600,84672000,980,0
1.7618,671148000,84758400,981,0
1.766,671234400,84844800,982,0
1.7545,671320800,84931200,983,0
1.7615,671407200,85017600,984,0
1.751,671666400,85276800,987,0
1.75,671752800,85363200,988,0
1.7513,671839200,85449600,989,0
1.7635,671925600,85536000,990,0
1.7723,672012000,85622400,991,0
1.7817,672271200,85881600,994,0
1.7715,672357600,85968000,995,0
1.776,672444000,86054400,996,0
1.775,672530400,86140800,997,0
1.7755,672616800,86227200,998,0
1.7805,672876000,86486400,1001,0
1.7615,672962400,86572800,1002,0
1.7635,673048800,86659200,1003,0
1.7662,673135200,86745600,1004,0
1.7765,673221600,86832000,1005,0
1.7755,673480800,87091200,1008,0
1.7643,673567200,87177600,1009,0
1.7728,673653600,87264000,1010,0
1.7734,673740000,87350400,1011,0
1.77,673826400,87436800,1012,0
1.7694,674085600,87696000,1015,0
1.774,674172000,87782400,1016,0
1.7622,674258400,87868800,1017,0
1.7639,674344800,87955200,1018,0
1.7735,674431200,88041600,1019,0
1.7683,674690400,88300800,1022,0
1.7683,674776800,88387200,1023,0
1.7688,674863200,88473600,1024,0
1.7668,674949600,88560000,1025,0
1.767,675036000,88646400,1026,0
1.7687,675295200,88905600,1029,0
1.7675,675381600,88992000,1030,0
1.7604,675468000,89078400,1031,0
1.7605,675554400,89164800,1032,0
1.7675,675640800,89251200,1033,0
1.7715,675900000,89510400,1036,0
1.7697,675986400,89596800,1037,0
1.7737,676072800,89683200,1038,0
1.7752,676159200,89769600,1039,0
1.7805,676245600,89856000,1040,0
1.7815,676504800,90115200,1043,0
1.7805,676591200,90201600,1044,0
1.7915,676677600,90288000,1045,0
1.7883,676764000,90374400,1046,0
1.7855,676850400,90460800,1047,0
1.7875,677109600,90720000,1050,0
1.79,677196000,90806400,1051,0
1.781,677282400,90892800,1052,0
1.776,677368800,90979200,1053,0
1.778,677455200,91065600,1054,0
1.772,677714400,91324800,1057,0
1.7705,677800800,91411200,1058,0
